# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²),MaxQ (mbar)
6.385,1770.137,2190.137,513.242,520.226,61.374,62.649,271.657,0.094,271.657,89.98,84.954,12.576,43.47,-80.537,0.057,0,-0.806,-8.365e-4,80.335,89.969,9.706e4,3.109e4,219.87,0.794,9.798,425.074,337.801,4.295,9179.039,9.652,2162.31,0.498,0.217,0.149,0.133,0.498,0.011,0.048,-1.628e-4,0,0,0,0,-2.241e-5,1.931,90,0.764,776.651,9.878e-4,331.762,1.569,1.606e8,20.32,324.293,0.015,0.585,0.056,1336.606
6.4,1778.083,2198.083,514.19,521.193,61.204,62.495,272.972,0.094,272.972,89.98,85.149,12.636,43.47,-80.537,0.065,0,-0.622,-9.864e-4,80.323,89.969,9.699e4,3.102e4,219.828,0.794,9.798,424.783,337.792,4.281,9162.2,9.641,2165.791,0.498,0.216,0.149,0.132,0.498,0.013,0.055,2.683e-4,0,0,0,0,-1.33e-5,1.922,90,0.712,775.886,9.87e-4,331.731,1.572,1.608e8,20.32,324.293,0.023,0.586,0.056,1340.511
6.423,1790.029,2210.029,515.609,522.64,61.063,62.354,274.951,0.096,274.951,89.98,85.443,12.626,43.47,-80.537,0.065,0,-0.327,-7.627e-4,80.312,89.969,9.683e4,3.086e4,219.702,0.793,9.798,424.42,337.745,4.266,9142.41,9.636,2171.016,0.497,0.216,0.149,0.132,0.497,0.013,0.054,-4.487e-4,0,0,0,0,-3.644e-6,1.973,90,0.635,774.736,9.858e-4,331.684,1.577,1.611e8,20.32,324.293,0.007,0.589,0.056,1346.35
6.43,1793.536,2213.536,516.024,523.064,61.024,62.313,275.532,0.096,275.532,89.98,85.528,12.61,43.47,-80.537,0.064,0,-0.242,-8.474e-4,80.311,89.969,9.679e4,3.081e4,219.666,0.793,9.798,424.322,337.731,4.261,9136.61,9.634,2172.536,0.496,0.216,0.149,0.132,0.496,0.012,0.053,-2.213e-4,0,0,0,0,-2.001e-6,1.987,90,0.612,774.398,9.854e-4,331.67,1.578,1.612e8,20.32,324.293,0.01,0.59,0.056,1348.057
6.44,1798.802,2218.802,516.646,523.699,61.059,62.343,276.405,0.096,276.405,89.98,85.657,12.591,43.47,-80.537,0.061,0,-0.12,-6.164e-4,80.309,89.969,9.674e4,3.077e4,219.618,0.793,9.798,424.18,337.707,4.256,9138.83,9.641,2174.811,0.496,0.216,0.149,0.132,0.496,0.012,0.05,-1.067e-4,0,0,0,0,-4.879e-7,2.01,90,0.578,773.892,9.849e-4,331.649,1.58,1.613e8,20.32,324.293,0.015,0.591,0.056,1350.618
6.455,1806.713,2226.713,517.581,524.652,61.114,62.389,277.717,0.097,277.717,89.98,85.849,12.547,43.47,-80.537,0.055,0,0.049,-0.001,80.308,89.969,9.668e4,3.071e4,219.547,0.792,9.798,423.973,337.67,4.247,9142.16,9.651,2178.238,0.495,0.215,0.148,0.131,0.495,0.011,0.045,-1.097e-4,0,0,0,0,8.211e-8,2.037,90,0.526,773.13,9.841e-4,331.618,1.583,1.615e8,20.32,324.293,0.005,0.592,0.056,1354.46
6.46,1809.045,2229.045,517.856,524.933,61.131,62.402,278.104,0.097,278.104,89.98,85.906,12.532,43.47,-80.537,0.053,0,0.095,-0.001,80.309,89.969,9.666e4,3.069e4,219.526,0.792,9.798,423.912,337.659,4.245,9143.14,9.654,2179.242,0.495,0.215,0.148,0.131,0.495,0.01,0.043,3.13e-4,0,0,0,0,3.086e-7,2.042,90,0.511,772.906,9.839e-4,331.609,1.584,1.616e8,20.32,324.293,0.007,0.593,0.056,1355.592
6.467,1812.544,2232.544,518.269,525.354,61.044,62.308,278.684,0.098,278.684,89.98,85.99,12.487,43.47,-80.537,0.05,0,0.162,-0.001,80.309,89.969,9.662e4,3.064e4,219.501,0.792,9.798,423.822,337.653,4.241,9132.532,9.647,2180.743,0.495,0.215,0.148,0.131,0.495,0.01,0.041,-1.863e-4,0,0,0,0,8.875e-7,2.05,90,0.488,772.569,9.836e-4,331.595,1.585,1.616e8,20.32,324.293,0.01,0.594,0.056,1357.288
6.477,1817.797,2237.797,518.886,525.984,60.914,62.166,279.556,0.098,279.556,89.98,86.116,12.412,43.47,-80.537,0.044,0,0.253,-0.001,80.311,89.969,9.655e4,3.058e4,219.462,0.792,9.798,423.69,337.645,4.235,9116.619,9.637,2182.984,0.494,0.215,0.148,0.131,0.494,0.008,0.036,-2.024e-4,0,0,0,0,2.156e-6,2.062,90,0.454,772.063,9.83e-4,331.574,1.587,1.618e8,20.32,324.293,0.013,0.595,0.056,1359.824
6.49,1824.608,2244.608,519.684,526.798,60.749,61.982,280.687,0.099,280.687,89.98,86.278,12.303,43.47,-80.537,0.035,0,0.353,-0.002,80.315,89.969,9.647e4,3.05e4,219.411,0.791,9.798,423.521,337.634,4.227,9096.02,9.623,2185.864,0.494,0.215,0.148,0.131,0.494,0.007,0.028,4.209e-4,0,0,0,0,4.178e-6,2.077,90,0.41,771.408,9.824e-4,331.547,1.59,1.619e8,20.32,324.293,0.02,0.595,0.056,1363.097
6.51,1834.843,2254.843,520.879,528.016,60.743,61.954,282.386,0.1,282.386,89.98,86.519,12.191,43.47,-80.537,0.024,0,0.461,-0.004,80.324,89.969,9.638e4,3.041e4,219.326,0.791,9.798,423.228,337.595,4.214,9091.463,9.627,2190.128,0.493,0.214,0.148,0.131,0.493,0.005,0.02,4.606e-4,0,0,0,0,7.099e-6,2.07,90,0.344,770.423,9.813e-4,331.507,1.594,1.622e8,20.32,324.293,0.01,0.596,0.057,1367.993
6.52,1840.226,2260.226,521.507,528.655,60.739,61.94,283.281,0.1,283.281,89.98,86.645,12.141,43.47,-80.536,0.019,0,0.504,-0.006,80.329,89.97,9.633e4,3.036e4,219.282,0.79,9.798,423.044,337.574,4.206,9089.07,9.63,2192.341,0.493,0.214,0.148,0.13,0.493,0.004,0.015,-1.721e-4,0,0,0,0,8.473e-6,2.049,90,0.309,769.904,9.808e-4,331.486,1.596,1.623e8,20.32,324.293,0.015,0.597,0.057,1370.561
6.535,1848.312,2268.312,522.447,529.613,60.632,61.816,284.624,0.101,284.624,89.98,86.832,12.042,43.47,-80.536,0.012,0,0.549,-0.01,80.337,89.97,9.623e4,3.026e4,219.203,0.79,9.798,422.692,337.545,4.19,9073.362,9.623,2195.644,0.492,0.214,0.148,0.13,0.492,0.002,0.009,-2.572e-4,0,0,0,0,1.003e-5,2.018,90,0.256,769.126,9.8e-4,331.454,1.599,1.625e8,20.32,324.293,0.005,0.597,0.057,1374.407
6.54,1850.668,2270.668,522.72,529.892,60.601,61.78,285.016,0.101,285.016,89.98,86.886,12.013,43.47,-80.536,0.009,0,0.558,-0.012,80.339,89.97,9.62e4,3.023e4,219.18,0.79,9.798,422.541,337.537,4.183,9068.79,9.621,2196.601,0.492,0.214,0.148,0.13,0.492,0.002,0.008,-1.595e-4,0,0,0,0,1.033e-5,2.009,90,0.241,768.899,9.798e-4,331.445,1.6,1.625e8,20.32,324.293,0.007,0.598,0.057,1375.524
6.547,1854.204,2274.204,523.13,530.31,60.647,61.82,285.604,0.102,285.604,89.98,86.967,11.984,43.47,-80.536,0.006,0,0.567,-0.021,80.343,89.97,9.617e4,3.019e4,219.139,0.79,9.798,422.187,337.515,4.167,9071.659,9.628,2198.043,0.492,0.214,0.148,0.13,0.492,0.001,0.004,-2.717e-4,0,0,0,0,1.066e-5,1.996,90,0.218,768.559,9.794e-4,331.431,1.601,1.626e8,20.32,324.293,0.01,0.599,0.057,1377.2
6.557,1859.514,2279.514,523.745,530.937,60.72,61.877,286.486,0.102,286.487,89.98,87.089,11.91,43.47,-80.536,0.003,0,-0.569,-0.038,80.349,89.97,9.612e4,3.014e4,219.078,0.789,9.798,424.097,337.481,4.263,9075.963,9.638,2200.239,0.491,0.214,0.148,0.13,0.491,6.078e-4,0.003,-2.363e-4,0,0,0,0,-1.071e-5,2.008,90,0.183,768.048,9.789e-4,331.41,1.603,1.627e8,20.32,324.293,0.015,0.599,0.057,1379.715
6.572,1867.49,2287.49,524.67,531.879,60.834,61.964,287.813,0.103,287.813,89.98,87.269,11.781,43.47,-80.536,0.019,0,-0.539,-0.006,80.357,89.97,9.604e4,3.006e4,218.987,0.789,9.798,422.75,337.431,4.199,9082.418,9.652,2203.55,0.491,0.213,0.148,0.13,0.491,0.003,0.014,7.215e-5,0,0,0,0,-9.586e-6,2.049,90,0.131,767.28,9.781e-4,331.378,1.606,1.629e8,20.32,324.293,0.008,0.6,0.057,1383.493
6.58,1871.625,2291.625,525.15,532.367,60.892,62.009,288.501,0.103,288.501,89.98,87.361,11.717,43.47,-80.536,0.026,0,-0.506,-0.005,80.361,89.97,9.6e4,3.003e4,218.94,0.789,9.798,422.539,337.405,4.19,9085.76,9.66,2205.263,0.49,0.213,0.147,0.129,0.49,0.005,0.021,7.427e-5,0,0,0,0,-8.419e-6,2.07,90,0.104,766.882,9.777e-4,331.362,1.608,1.63e8,20.32,324.293,0.012,0.601,0.057,1385.45
6.592,1877.835,2297.835,525.868,533.098,60.663,61.757,289.534,0.104,289.534,89.979,87.499,11.576,43.47,-80.536,0.037,0,-0.436,-0.004,80.367,89.97,9.592e4,2.995e4,218.903,0.788,9.798,422.275,337.404,4.177,9058.73,9.639,2207.82,0.49,0.213,0.147,0.129,0.49,0.007,0.029,4.25e-5,0,0,0,0,-6.244e-6,2.102,90,0.064,766.284,9.771e-4,331.338,1.61,1.631e8,20.32,324.293,0.008,0.601,0.057,1388.38
6.6,1882.14,2302.14,526.364,533.602,60.503,61.584,290.25,0.104,290.25,89.979,87.593,11.483,43.47,-80.536,0.043,0,-0.374,-0.003,80.37,89.969,9.587e4,2.989e4,218.877,0.788,9.798,422.11,337.403,4.169,9040.01,9.625,2209.577,0.489,0.213,0.147,0.129,0.489,0.008,0.034,4.563e-4,0,0,0,0,-4.588e-6,2.124,90,0.036,765.87,9.766e-4,331.321,1.612,1.632e8,20.32,324.293,0.012,0.602,0.057,1390.4
6.612,1888.606,2308.606,527.106,534.357,60.376,61.447,291.327,0.105,291.327,89.979,87.734,11.425,43.47,-80.536,0.047,0,-0.27,-0.003,80.374,89.969,9.581e4,2.984e4,218.845,0.788,9.798,421.924,337.396,4.16,9025.795,9.615,2212.142,0.489,0.213,0.147,0.129,0.489,0.009,0.037,1.752e-4,0,0,0,0,-2.384e-6,2.105,90,-0.006,765.248,9.76e-4,331.295,1.614,1.634e8,20.32,324.293,0.018,0.602,0.057,1393.418
6.63,1897.958,2317.958,528.174,535.444,60.187,61.251,292.883,0.106,292.883,89.979,87.936,11.365,43.47,-80.536,0.049,0,-0.109,-0.004,80.378,89.969,9.574e4,2.976e4,218.799,0.787,9.798,421.668,337.385,4.148,9005.27,9.601,2215.812,0.488,0.212,0.147,0.129,0.488,0.009,0.038,-2.996e-4,0,0,0,0,-3.887e-7,2.077,90,-0.067,764.347,9.751e-4,331.258,1.617,1.636e8,20.32,324.293,0.027,0.603,0.057,1397.759
6.657,1912.022,2332.022,529.773,537.072,60.13,61.194,295.225,0.107,295.225,89.979,88.238,11.362,43.47,-80.536,0.049,0,0.136,-0.002,80.377,89.969,9.557e4,2.959e4,218.641,0.787,9.798,421.324,337.312,4.134,8993.421,9.605,2221.29,0.487,0.212,0.147,0.128,0.487,0.009,0.038,4.231e-5,0,0,0,0,5.975e-7,2.044,90,-0.158,762.994,9.737e-4,331.203,1.623,1.639e8,20.32,324.293,0.003,0.603,0.058,1404.247
6.66,1913.831,2333.831,529.979,537.28,60.123,61.187,295.527,0.107,295.527,89.979,88.277,11.363,43.47,-80.536,0.048,0,0.167,-0.001,80.377,89.969,9.555e4,2.957e4,218.62,0.786,9.798,421.281,337.302,4.133,8991.9,9.605,2221.996,0.487,0.212,0.147,0.128,0.487,0.009,0.038,-3.38e-5,0,0,0,0,9.012e-7,2.043,90,-0.17,762.82,9.735e-4,331.196,1.623,1.639e8,20.32,324.293,0.005,0.604,0.058,1405.079
6.665,1916.545,2336.545,530.286,537.594,60.103,61.168,295.979,0.107,295.979,89.979,88.335,11.365,43.47,-80.536,0.048,0,0.213,-0.002,80.376,89.968,9.552e4,2.955e4,218.599,0.786,9.798,421.218,337.293,4.13,8989.454,9.605,2223.052,0.487,0.212,0.147,0.128,0.487,0.009,0.036,-3.667e-4,0,0,0,0,1.467e-6,2.042,90,-0.188,762.558,9.732e-4,331.185,1.624,1.64e8,20.32,324.293,0.008,0.604,0.058,1406.327
6.673,1920.619,2340.619,530.748,538.063,60.072,61.139,296.657,0.108,296.657,89.979,88.422,11.373,43.47,-80.536,0.047,0,0.281,-0.002,80.374,89.968,9.549e4,2.951e4,218.568,0.786,9.798,421.126,337.279,4.126,8985.786,9.605,2224.632,0.487,0.212,0.147,0.128,0.487,0.009,0.036,-9.216e-5,0,0,0,0,2.541e-6,2.04,90,-0.214,762.166,9.728e-4,331.169,1.626,1.641e8,20.32,324.293,0.012,0.605,0.058,1408.196
6.684,1926.737,2346.737,531.44,538.767,60.025,61.097,297.677,0.108,297.677,89.979,88.553,11.395,43.47,-80.536,0.044,0,0.379,-0.002,80.37,89.968,9.543e4,2.946e4,218.52,0.786,9.798,420.993,337.258,4.121,8980.283,9.604,2226.992,0.486,0.212,0.147,0.128,0.486,0.008,0.034,-1.5e-4,0,0,0,0,4.604e-6,2.037,90,-0.254,761.577,9.722e-4,331.145,1.628,1.642e8,20.32,324.293,0.006,0.606,0.058,1410.998
6.69,1929.757,2349.757,531.781,539.114,60.001,61.076,298.18,0.109,298.18,89.979,88.618,11.409,43.47,-80.536,0.042,0,0.424,-0.002,80.368,89.968,9.541e4,2.943e4,218.497,0.786,9.798,420.929,337.247,4.118,8977.57,9.604,2228.152,0.486,0.211,0.147,0.128,0.486,0.008,0.032,1.629e-4,0,0,0,0,5.78e-6,2.035,90,-0.273,761.287,9.719e-4,331.133,1.629,1.643e8,20.32,324.293,0.009,0.607,0.058,1412.378
6.699,1934.29,2354.29,532.292,539.634,59.95,61.03,298.935,0.109,298.935,89.979,88.716,11.433,43.47,-80.536,0.039,0,0.489,-0.002,80.364,89.968,9.537e4,2.94e4,218.465,0.785,9.798,420.836,337.234,4.114,8972.142,9.602,2229.886,0.486,0.211,0.147,0.128,0.486,0.007,0.029,-3.853e-4,0,0,0,0,7.666e-6,2.033,90,-0.303,760.85,9.714e-4,331.115,1.631,1.644e8,20.32,324.293,0.013,0.607,0.058,1414.446
6.711,1941.099,2361.099,533.057,540.413,59.877,60.961,300.07,0.11,300.07,89.979,88.862,11.441,43.47,-80.536,0.038,0,0.58,-0.001,80.357,89.968,9.531e4,2.934e4,218.416,0.785,9.798,420.671,337.214,4.107,8964.001,9.599,2232.515,0.485,0.211,0.146,0.127,0.485,0.007,0.029,-2.955e-4,0,0,0,0,1.074e-5,2.07,90,-0.347,760.195,9.708e-4,331.089,1.633,1.645e8,20.32,324.293,0.009,0.608,0.058,1417.543
6.72,1945.737,2365.737,533.578,540.943,59.828,60.913,300.844,0.11,300.844,89.979,88.961,11.449,43.47,-80.536,0.037,0,0.641,-0.001,80.352,89.968,9.527e4,2.93e4,218.383,0.785,9.798,420.562,337.2,4.102,8958.46,9.597,2234.299,0.485,0.211,0.146,0.127,0.485,0.007,0.028,9.148e-5,0,0,0,0,1.309e-5,2.099,90,-0.377,759.749,9.703e-4,331.07,1.635,1.646e8,20.32,324.293,0.013,0.608,0.058,1419.647
6.733,1952.704,2372.704,534.358,541.738,59.813,60.905,302.005,0.111,302.005,89.979,89.111,11.482,43.47,-80.536,0.034,0,0.726,-6.156e-4,80.343,89.968,9.519e4,2.921e4,218.296,0.785,9.798,420.406,337.157,4.097,8954.124,9.601,2236.963,0.484,0.211,0.146,0.127,0.484,0.006,0.026,-4.428e-4,0,0,0,0,1.676e-5,2.143,90,-0.423,759.078,9.696e-4,331.043,1.638,1.647e8,20.32,324.293,0.017,0.609,0.058,1422.799
6.75,1961.772,2381.772,535.372,542.77,59.791,60.895,303.518,0.112,303.518,89.979,89.306,11.539,43.47,-80.536,0.029,0,0.826,0.001,80.33,89.968,9.507e4,2.91e4,218.183,0.784,9.797,420.224,337.101,4.091,8948.49,9.607,2240.415,0.484,0.21,0.146,0.127,0.484,0.005,0.022,-4.793e-4,0,0,0,0,2.158e-5,2.2,90,-0.482,758.205,9.687e-4,331.007,1.641,1.649e8,20.32,324.293,0.025,0.609,0.058,1426.892
6.775,1975.405,2395.405,536.889,544.314,59.494,60.629,305.792,0.113,305.792,89.979,89.601,11.675,43.47,-80.536,0.011,0,0.923,0.006,80.307,89.968,9.497e4,2.899e4,218.116,0.783,9.797,420.1,337.083,4.086,8920.382,9.587,2245.5,0.483,0.21,0.146,0.126,0.483,0.002,0.008,3.752e-4,0,0,0,0,2.679e-5,2.212,90,-0.57,756.893,9.673e-4,330.953,1.646,1.652e8,20.32,324.293,0.005,0.61,0.058,1433.007
6.78,1977.86,2397.86,537.161,544.591,59.44,60.581,306.202,0.113,306.202,89.979,89.654,11.701,43.47,-80.536,0.008,0,0.931,0.008,80.303,89.968,9.495e4,2.897e4,218.103,0.783,9.797,420.117,337.079,4.087,8915.33,9.584,2246.406,0.482,0.21,0.146,0.126,0.482,0.002,0.006,1.67e-4,0,0,0,0,2.724e-5,2.214,90,-0.586,756.657,9.671e-4,330.944,1.647,1.653e8,20.32,324.293,0.007,0.611,0.058,1434.101
6.787,1981.544,2401.544,537.568,545.006,59.443,60.594,306.817,0.114,306.817,89.979,89.735,11.755,43.47,-80.536,0.003,0,0.938,0.023,80.297,89.968,9.49e4,2.893e4,218.055,0.783,9.797,420.357,337.054,4.1,8914.67,9.588,2247.762,0.482,0.21,0.146,0.126,0.482,5.908e-4,0.002,3.849e-4,0,0,0,0,2.76e-5,2.217,90,-0.61,756.302,9.667e-4,330.929,1.648,1.653e8,20.32,324.293,0.01,0.611,0.058,1435.742
6.797,1987.075,2407.075,538.18,545.629,59.448,60.614,307.74,0.114,307.74,89.979,89.856,11.835,43.47,-80.536,0.004,0,-0.937,0.02,80.287,89.968,9.483e4,2.886e4,217.982,0.783,9.797,419.342,337.016,4.051,8913.679,9.594,2249.793,0.482,0.21,0.146,0.126,0.482,7.65e-4,0.003,-1.194e-4,0,0,0,0,-2.747e-5,2.222,90,-0.646,755.77,9.662e-4,330.907,1.65,1.655e8,20.32,324.293,0.013,0.612,0.058,1438.202
6.81,1994.001,2414.001,538.944,546.409,59.455,60.639,308.897,0.115,308.897,89.979,90.009,11.924,43.47,-80.536,0.012,0,-0.917,0.008,80.275,89.968,9.475e4,2.878e4,217.891,0.782,9.797,419.374,336.968,4.055,8912.44,9.601,2252.336,0.481,0.21,0.146,0.126,0.481,0.002,0.009,1.897e-4,0,0,0,0,-2.627e-5,2.238,90,-0.691,755.103,9.655e-4,330.88,1.653,1.656e8,20.32,324.293,0.019,0.613,0.059,1441.279
6.829,2004.41,2424.41,540.091,547.578,59.403,60.61,310.636,0.116,310.636,89.979,90.24,12.033,43.47,-80.536,0.023,0,-0.854,0.006,80.258,89.968,9.466e4,2.869e4,217.802,0.782,9.797,419.125,336.924,4.045,8906.89,9.604,2256.135,0.48,0.209,0.146,0.126,0.48,0.004,0.017,-2.284e-4,0,0,0,0,-2.267e-5,2.268,90,-0.759,754.101,9.644e-4,330.839,1.656,1.658e8,20.32,324.293,0.011,0.613,0.059,1445.891
6.84,2010.196,2430.196,540.727,548.226,59.376,60.593,311.603,0.117,311.603,89.979,90.369,12.086,43.47,-80.536,0.028,0,-0.803,0.005,80.249,89.968,9.461e4,2.864e4,217.753,0.782,9.797,418.976,336.899,4.039,8903.81,9.605,2258.233,0.48,0.209,0.146,0.126,0.48,0.005,0.02,-6.079e-5,0,0,0,0,-2.002e-5,2.284,90,-0.796,753.544,9.639e-4,330.816,1.658,1.659e8,20.32,324.293,0.016,0.614,0.059,1448.448
6.856,2018.889,2438.889,541.68,549.198,59.316,60.551,313.056,0.117,313.056,89.979,90.564,12.166,43.47,-80.536,0.036,0,-0.711,0.004,80.237,89.967,9.45e4,2.853e4,217.644,0.781,9.797,418.74,336.846,4.03,8894.904,9.607,2261.361,0.479,0.209,0.145,0.125,0.479,0.007,0.026,4.976e-4,0,0,0,0,-1.562e-5,2.292,90,-0.853,752.707,9.63e-4,330.782,1.661,1.661e8,20.32,324.293,0.004,0.614,0.059,1452.277
6.86,2021.023,2441.023,541.913,549.437,59.301,60.541,313.412,0.118,313.412,89.978,90.612,12.189,43.47,-80.536,0.038,0,-0.684,0.004,80.234,89.967,9.447e4,2.85e4,217.618,0.781,9.797,418.677,336.833,4.028,8892.72,9.608,2262.122,0.479,0.209,0.145,0.125,0.479,0.007,0.028,3.606e-4,0,0,0,0,-1.444e-5,2.288,90,-0.867,752.502,9.628e-4,330.774,1.662,1.661e8,20.32,324.293,0.006,0.615,0.059,1453.215
6.866,2024.225,2444.225,542.264,549.794,59.3,60.547,313.948,0.118,313.948,89.978,90.684,12.225,43.47,-80.536,0.042,0,-0.64,0.004,80.23,89.967,9.445e4,2.847e4,217.587,0.781,9.797,418.584,336.816,4.024,8892.385,9.61,2263.262,0.479,0.209,0.145,0.125,0.479,0.008,0.03,-3.347e-4,0,0,0,0,-1.264e-5,2.281,90,-0.887,752.194,9.625e-4,330.761,1.663,1.662e8,20.32,324.293,0.009,0.615,0.059,1454.621
6.875,2029.033,2449.033,542.789,550.33,59.299,60.556,314.752,0.118,314.752,89.978,90.793,12.274,43.47,-80.536,0.046,0,-0.569,0.003,80.225,89.967,9.441e4,2.843e4,217.541,0.781,9.797,418.445,336.791,4.018,8891.882,9.614,2264.968,0.479,0.208,0.145,0.125,0.479,0.008,0.033,1.541e-4,0,0,0,0,-9.966e-6,2.27,90,-0.919,751.731,9.62e-4,330.742,1.665,1.663e8,20.32,324.293,0.013,0.616,0.059,1456.731
6.888,2036.254,2456.254,543.578,551.135,59.301,60.569,315.96,0.119,315.96,89.978,90.956,12.333,43.47,-80.536,0.052,0,-0.449,0.003,80.218,89.967,9.434e4,2.837e4,217.471,0.78,9.797,418.241,336.754,4.01,8891.127,9.619,2267.518,0.478,0.208,0.145,0.125,0.478,0.009,0.038,-1.56e-4,0,0,0,0,-6.196e-6,2.254,90,-0.966,751.036,9.612e-4,330.714,1.668,1.664e8,20.32,324.293,0.012,0.616,0.059,1459.894
6.9,2042.747,2462.747,544.285,551.857,59.304,60.581,317.047,0.12,317.047,89.978,91.104,12.372,43.47,-80.536,0.055,0,-0.331,0.003,80.213,89.966,9.429e4,2.831e4,217.409,0.78,9.797,418.067,336.721,4.003,8890.45,9.624,2269.799,0.478,0.208,0.145,0.125,0.478,0.01,0.04,2.515e-4,0,0,0,0,-3.363e-6,2.24,90,-1.008,750.411,9.606e-4,330.688,1.67,1.665e8,20.32,324.293,0.02,0.617,0.059,1462.733
6.92,2053.644,2473.644,545.467,553.064,58.888,60.146,318.871,0.121,318.871,89.978,91.35,12.238,43.47,-80.536,0.048,0,-0.143,0.003,80.209,89.966,9.415e4,2.817e4,217.336,0.779,9.797,417.861,336.708,3.994,8843.89,9.588,2273.658,0.477,0.208,0.145,0.124,0.477,0.009,0.034,-3.06e-4,0,0,0,0,-6.233e-7,2.315,90,-1.079,749.362,9.595e-4,330.645,1.674,1.668e8,20.32,324.293,0.03,0.618,0.059,1467.463
6.95,2070.035,2490.035,547.235,554.867,58.94,60.168,321.617,0.123,321.617,89.978,91.715,12.092,43.47,-80.536,0.031,0,0.074,0.004,80.208,89.965,9.401e4,2.804e4,217.18,0.778,9.797,417.621,336.623,3.986,8842.5,9.601,2279.366,0.476,0.207,0.145,0.124,0.476,0.006,0.022,4.373e-4,0,0,0,0,1.678e-7,2.428,90,-1.185,747.784,9.579e-4,330.581,1.68,1.671e8,20.32,324.293,0.04,0.618,0.059,1474.517
6.99,2091.971,2511.971,549.591,557.271,58.876,60.092,325.295,0.125,325.296,89.978,92.198,12.029,43.47,-80.536,0.026,0,0.287,0.003,80.215,89.965,9.381e4,2.784e4,216.973,0.777,9.797,417.119,336.517,3.967,8829.04,9.606,2286.889,0.475,0.207,0.145,0.123,0.475,0.005,0.018,-2.931e-4,0,0,0,0,2.476e-6,2.324,90,-1.328,745.73,9.557e-4,330.494,1.687,1.675e8,20.32,324.293,0.02,0.619,0.06,1484.011
7.01,2102.975,2522.975,550.768,558.471,58.801,59.995,327.142,0.126,327.142,89.978,92.437,11.913,43.47,-80.536,0.016,0,0.37,0.003,80.222,89.965,9.369e4,2.771e4,216.852,0.777,9.797,416.96,336.457,3.962,8815.4,9.604,2290.723,0.474,0.206,0.144,0.123,0.474,0.003,0.011,-1.652e-4,0,0,0,0,4.104e-6,2.322,90,-1.399,744.724,9.547e-4,330.451,1.691,1.677e8,20.32,324.293,0.03,0.62,0.06,1488.79
7.04,2119.524,2539.524,552.53,560.268,58.706,59.853,329.92,0.128,329.92,89.978,92.791,11.659,43.47,-80.536,0.008,0,-0.389,0.006,80.234,89.965,9.355e4,2.757e4,216.717,0.776,9.797,416.209,336.392,3.928,8798.63,9.601,2296.485,0.473,0.206,0.144,0.123,0.473,0.001,0.006,6.002e-5,0,0,0,0,-4.5e-6,2.395,90,-1.507,743.21,9.531e-4,330.386,1.697,1.68e8,20.32,324.293,0.01,0.62,0.06,1495.932
7.05,2125.053,2545.053,553.117,560.866,58.675,59.806,330.849,0.128,330.849,89.978,92.907,11.577,43.47,-80.536,0.016,0,-0.367,0.003,80.237,89.965,9.35e4,2.752e4,216.673,0.776,9.797,416.148,336.37,3.926,8793.04,9.599,2298.39,0.472,0.206,0.144,0.123,0.472,0.003,0.011,-2.468e-4,0,0,0,0,-4.001e-6,2.419,90,-1.543,742.704,9.526e-4,330.364,1.699,1.681e8,20.32,324.293,0.015,0.621,0.06,1498.305
7.065,2133.356,2553.356,553.995,561.76,58.382,59.501,332.244,0.129,332.244,89.978,93.08,11.485,43.47,-80.536,0.02,0,-0.32,0.002,80.243,89.966,9.34e4,2.742e4,216.612,0.775,9.797,415.995,336.354,3.919,8760.265,9.574,2301.168,0.472,0.205,0.144,0.122,0.472,0.003,0.013,8.37e-5,0,0,0,0,-3.023e-6,2.384,90,-1.597,741.944,9.518e-4,330.331,1.702,1.683e8,20.32,324.293,0.005,0.622,0.06,1501.849
