timestamp,pololu_acc_x,pololu_acc_y,pololu_acc_z,pololu_gyr_x,pololu_gyr_y,pololu_gyr_z,pololu_mag_x,pololu_mag_y,pololu_mag_z,pololu_baro
51606.69922,-9.853410721,-0.129335001,-0.047901854,0.004261188,-0.013848861,-0.003195891,0.586443663,-0.183599353,-0.172856838,97947.82813
51612.19922,-9.877362251,-0.153285921,-0.01916074,0.004261188,-0.012783564,-0.003195891,0.589861751,-0.180669576,-0.172856838,97947.39063
51617.69922,-9.872571945,-0.124544814,-0.067062594,0.004261188,-0.011718267,-0.004261188,0.583025634,-0.180669576,-0.17383343,97949.09375
51623.19922,-9.901312828,-0.134125188,-0.052692037,0.005326485,-0.009587673,-0.005326485,0.604022324,-0.179692984,-0.17383343,97952.32031
51628.69922,-9.915683746,-0.110174261,-0.03832148,0.005326485,-0.008522375,-0.007457078,0.599139392,-0.178716391,-0.172856838,97954.32031
51634.19922,-9.906103134,-0.119754635,-0.052692037,0.005326485,-0.006391782,-0.008522375,0.584978819,-0.181157872,-0.172856838,97950.97656
51639.69922,-9.934844017,-0.110174261,-0.033531297,0.005326485,-0.004261188,-0.009587673,0.588396847,-0.178228095,-0.174321726,97949.21875
51645.19922,-9.896522522,-0.110174261,-0.033531297,0.004261188,-0.003195891,-0.011718267,0.589373469,-0.186040834,-0.168950468,97953.03125
51650.69922,-9.915683746,-0.119754635,-0.023950927,0.005326485,-0.001065297,-0.012783564,0.584002197,-0.182622761,-0.169438764,97953.29688
51656.19922,-9.867781639,-0.134125188,-0.057482224,0.005326485,0,-0.013848861,0.59376812,-0.183111057,-0.169927061,97951.6875
51661.69922,-9.872571945,-0.172446668,-0.03832148,0.005326485,0.001065297,-0.014914157,0.590838373,-0.184575945,-0.170903653,97951.19531
51667.19922,-9.862991333,-0.158076108,-0.057482224,0.004261188,0.003195891,-0.017044751,0.5854671,-0.178716391,-0.172856838,97953.29688
51672.69922,-9.858201027,-0.162866294,-0.033531297,0.005326485,0.002130594,-0.015979454,0.594256401,-0.179692984,-0.169927061,97956.64063
51678.19922,-9.843831062,-0.172446668,-0.052692037,0.004261188,0.001065297,-0.014914157,0.59816277,-0.184575945,-0.168462172,97955.29688
51683.69922,-9.843831062,-0.148495749,-0.03832148,0.004261188,0.001065297,-0.014914157,0.589373469,-0.18018128,-0.171391949,97950.36719
51689.19922,-9.81029892,-0.148495749,-0.091013521,0.005326485,0,-0.013848861,0.588396847,-0.179204687,-0.172856838,97952.85938
51694.69922,-9.824669838,-0.191607416,-0.07664296,0.005326485,-0.002130594,-0.012783564,0.584978819,-0.180669576,-0.170415357,97953.46875
51700.19922,-9.819879532,-0.172446668,-0.110174261,0.005326485,-0.004261188,-0.01065297,0.597674489,-0.179204687,-0.173345134,97949.21875
51705.69922,-9.81029892,-0.167656481,-0.067062594,0.005326485,-0.005326485,-0.009587673,0.58107245,-0.179204687,-0.169927061,97951
51711.19922,-9.839040756,-0.143705562,-0.057482224,0.005326485,-0.006391782,-0.008522375,0.583025634,-0.183599353,-0.171880245,97953
51716.69922,-9.839040756,-0.143705562,-0.081433147,0.005326485,-0.007457078,-0.007457078,0.593279839,-0.178716391,-0.172368541,97952.32031
51722.19922,-9.829460144,-0.148495749,-0.081433147,0.004261188,-0.009587673,-0.005326485,0.586443663,-0.18018128,-0.173345134,97953.51563
51727.69922,-9.819879532,-0.162866294,-0.091013521,0.005326485,-0.01065297,-0.004261188,0.574724555,-0.182134464,-0.171880245,97953.51563
51733.19922,-9.829460144,-0.119754635,-0.091013521,0.004261188,-0.011718267,-0.004261188,0.59816277,-0.18018128,-0.170415357,97953.49219
51738.60156,-9.83425045,-0.167656481,-0.081433147,0.004261188,-0.011718267,-0.004261188,0.594256401,-0.182134464,-0.174321726,97952.75781
51744.19922,-9.843831062,-0.167656481,-0.052692037,0.004261188,-0.012783564,-0.003195891,0.599139392,-0.182134464,-0.171880245,97952.82813
51749.69922,-9.872571945,-0.134125188,-0.057482224,0.004261188,-0.013848861,-0.004261188,0.584978819,-0.182134464,-0.171391949,97952.4375
51755.19922,-9.862991333,-0.138915375,-0.03832148,0.004261188,-0.012783564,-0.003195891,0.592791557,-0.182622761,-0.169438764,97953.75781
51760.60156,-9.867781639,-0.153285921,-0.014370556,0.004261188,-0.012783564,-0.004261188,0.590350032,-0.182622761,-0.171880245,97954.95313
51766.19922,-9.882152557,-0.153285921,-0.033531297,0.004261188,-0.011718267,-0.004261188,0.591814935,-0.182622761,-0.166508988,97956.88281
51771.69922,-9.891732216,-0.138915375,0,0.005326485,-0.011718267,-0.005326485,0.592791557,-0.18018128,-0.168950468,97955.95313
51777.19922,-9.88694191,-0.138915375,-0.023950927,0.004261188,-0.009587673,-0.006391782,0.595721304,-0.182622761,-0.167973876,97955.07813
51782.69922,-9.882152557,-0.138915375,-0.014370556,0.004261188,-0.007457078,-0.007457078,0.596209586,-0.177251503,-0.171880245,97954.51563
51788.19922,-9.882152557,-0.143705562,-0.067062594,0.005326485,-0.006391782,-0.008522375,0.59816277,-0.181646168,-0.168950468,97954.6875
51793.69922,-9.901312828,-0.129335001,-0.03832148,0.005326485,-0.005326485,-0.01065297,0.592303216,-0.185064241,-0.171391949,97956.03125
51799.19922,-9.891732216,-0.110174261,-0.043111667,0.004261188,-0.004261188,-0.011718267,0.588396847,-0.179692984,-0.168950468,97955.73438
51804.69922,-9.901312828,-0.129335001,-0.028741112,0.005326485,-0.002130594,-0.011718267,0.598651111,-0.175786614,-0.16748558,97954.71094
51810.19922,-9.906103134,-0.105384074,-0.043111667,0.005326485,-0.001065297,-0.011718267,0.59376812,-0.180669576,-0.169927061,97952.21875
51815.69922,-9.882152557,-0.114964448,-0.043111667,0.005326485,0,-0.012783564,0.596697927,-0.177739799,-0.170903653,97954
51821.19922,-9.862991333,-0.148495749,-0.057482224,0.004261188,0,-0.014914157,0.584002197,-0.18018128,-0.168462172,97957.96094
51826.69922,-9.867781639,-0.119754635,-0.057482224,0.004261188,0.001065297,-0.014914157,0.584978819,-0.182622761,-0.168950468,97957.17969
51832.19922,-9.843831062,-0.119754635,-0.062272407,0.005326485,0.001065297,-0.013848861,0.591814935,-0.181157872,-0.168950468,97952.80469
51837.60156,-9.829460144,-0.158076108,-0.03832148,0.005326485,0.001065297,-0.014914157,0.589861751,-0.183111057,-0.170903653,97952.39063
51843.19922,-9.848620415,-0.167656481,-0.062272407,0.005326485,0.001065297,-0.013848861,0.591326654,-0.181157872,-0.168462172,97956.25
51848.60156,-9.839040756,-0.177236855,-0.057482224,0.005326485,0,-0.013848861,0.587420285,-0.182622761,-0.169927061,97956.25
51854.10156,-9.829460144,-0.186817229,-0.057482224,0.005326485,-0.001065297,-0.012783564,0.591814935,-0.184575945,-0.171391949,97952.92969
51859.60156,-9.815089226,-0.167656481,-0.07664296,0.004261188,-0.003195891,-0.012783564,0.584002197,-0.184575945,-0.170903653,97950.63281
51865.10156,-9.83425045,-0.172446668,-0.023950927,0.005326485,-0.004261188,-0.01065297,0.591326654,-0.181157872,-0.168462172,97954.03125
51870.60156,-9.83425045,-0.158076108,-0.047901854,0.004261188,-0.005326485,-0.009587673,0.595721304,-0.182134464,-0.169927061,97952.36719
51876.10156,-9.815089226,-0.182027042,-0.052692037,0.004261188,-0.007457078,-0.008522375,0.589373469,-0.181157872,-0.168462172,97949.82813
51881.69922,-9.839040756,-0.158076108,-0.062272407,0.005326485,-0.008522375,-0.006391782,0.597674489,-0.18018128,-0.169438764,97953.49219
51887.19922,-9.862991333,-0.158076108,-0.047901854,0.005326485,-0.009587673,-0.005326485,0.594256401,-0.177739799,-0.169438764,97953.97656
51892.69922,-9.858201027,-0.153285921,-0.081433147,0.005326485,-0.01065297,-0.006391782,0.584002197,-0.182134464,-0.170415357,97950.36719
51898.19922,-9.848620415,-0.172446668,-0.067062594,0.004261188,-0.01065297,-0.005326485,0.588396847,-0.181157872,-0.169438764,97953.83594
51903.69922,-9.872571945,-0.148495749,-0.086223334,0.005326485,-0.01065297,-0.005326485,0.594744742,-0.184087649,-0.166997284,97954.64063
51909.10156,-9.853410721,-0.134125188,-0.062272407,0.005326485,-0.009587673,-0.005326485,0.592791557,-0.182134464,-0.170415357,97955.53906
51914.69922,-9.872571945,-0.148495749,-0.033531297,0.004261188,-0.009587673,-0.006391782,0.590838373,-0.181157872,-0.163090914,97954.75781
51920.19922,-9.843831062,-0.143705562,-0.03832148,0.004261188,-0.009587673,-0.005326485,0.589373469,-0.181646168,-0.165532395,97954.49219
51925.60156,-9.867781639,-0.119754635,-0.043111667,0.005326485,-0.01065297,-0.006391782,0.595721304,-0.181157872,-0.166997284,97954.8125
51931.10156,-9.88694191,-0.153285921,-0.033531297,0.005326485,-0.009587673,-0.006391782,0.597674489,-0.181157872,-0.16748558,97952.75781
51936.60156,-9.862991333,-0.129335001,-0.057482224,0.004261188,-0.008522375,-0.006391782,0.585955381,-0.182134464,-0.172368541,97953.34375
51942.10156,-9.877362251,-0.134125188,-0.062272407,0.005326485,-0.008522375,-0.007457078,0.60255748,-0.184087649,-0.167973876,97950.24219
